P_Id,Colour
18473518,Blue
15689218,Grey
14434642,Grey
19183514,Teal
17011468,Mustard
15689184,Blue
14231718,Mustard
10942736,Black
11035316,Blue
11656304,Blue
10617824,White
10696608,Navy Blue
15283578,Black
15283580,Blue
10942702,Blue
11406918,Black
10666988,Blue
13664942,Navy Blue
15283572,Blue
17850160,White
10946132,Navy Blue
10728892,Blue
16272474,Navy Blue
13664934,Navy Blue
15283584,White
17850182,White
13650616,Black
16495324,Yellow
15283590,Navy Blue
10696602,Black
11532858,Black
11109236,Black
17049872,Navy Blue
10705482,Black
10728886,Blue
17850152,White
11659696,Navy Blue
14084610,Navy Blue
15283588,Navy Blue
15283594,Navy Blue
16874940,Blue
17850140,Navy Blue
11217974,Blue
16495340,Maroon
12159424,Pink
14191740,White
11539286,Off White
18808454,Pink
14191744,Beige
14191746,Black
10814044,Red
18156542,Magenta
10814254,Maroon
11539350,Black
18808446,Blue
10814204,Black
11539250,Beige
18156548,Green
10813992,Black
10451770,Black
10451688,Maroon
12159600,Black
10451500,Off White
10451850,Beige
10451734,Mustard
2138931,Coral
11539278,White
18156554,Black
10814100,Beige
18135212,White
15662806,Navy Blue
